id,department_id,department_name,category_id,category_name,name,arabic_name,sku,brand_name,description,unit,warehouse_unit,workshop_unit,conversion_factor,purchase_price,sale_price,sale_price_before_vat,km_type_value,allow_decimal_qty,allow_minus_qty,is_active,min_price_corporate,max_price_corporate,is_price_editable,min_price_editable,created_at,updated_at
655,20,Oil Change Department,16,Benzol Oil,New Test product,ھجکھ عسد کا اجاجس,ML-24,Mobil,ok,pcs,pcs,pcs,1,15,20,17.39,3000,false,false,true,16,25,true,16,2026-07-03T20:06:01.998Z,2026-07-03T20:06:01.998Z
654,2,Tea & Refereshment Department,37,Tea & Coffee,new test service,,,,,pcs,pcs,pcs,1,8,10,8.7,0,false,false,true,0,0,false,,2026-06-27T13:40:08.312Z,2026-06-27T13:40:08.312Z
653,20,Oil Change Department,4,TOYOTA Oil,test service,,,,,liter,liter,liter,1,30,40,34.78,0,true,false,true,0,0,false,,2026-06-25T10:07:35.052Z,2026-06-25T10:07:35.052Z
652,20,Oil Change Department,9,Shell Oil,Shell Rotella Barrel 20W50,شل روتيلا برميل 20W50,SHE-0061,Shell,,piece,piece,piece,1,12.5,15.5,13.48,5000,false,false,true,0,0,false,,2026-05-19T07:23:21.087Z,2026-05-19T07:23:21.087Z
651,20,Oil Change Department,3,Misc Products,Contact Cleaner,منظف الكترونيات,MIS-001,Misc,GETSUN / WD40 / other Brands Contact cleaners,piece,piece,piece,1,9.5,12.5,10.87,,false,false,true,0,0,false,,2026-05-19T07:21:24.759Z,2026-05-19T07:21:24.759Z
650,20,Oil Change Department,9,Shell Oil,Shell Romella Barrel 20W50,شل روميلا برميل 20W50,SHE-0060,Shell,,piece,piece,piece,1,7,11.65,10.13,5000,false,false,true,0,0,false,,2026-05-19T07:17:25.762Z,2026-05-19T07:17:25.762Z
649,20,Oil Change Department,18,TOYOTA Oil Filters,OIL FILTER Land cruiser Diesel 30002-8T,فلتر زيت لاند كروزر ديزل 30002-8T,FIL-001,toyota,,piece,piece,piece,1,47,65,56.52,,false,false,true,0,0,false,,2026-05-17T10:36:35.355Z,2026-05-17T10:36:35.355Z
648,20,Oil Change Department,5,Petromin Oil,Petromin Diesel Bermil 20W50,بترومين زيت ديزل بيرميل 20W50,PTM-001,Petromin,,liter,liter,liter,1,10,13,11.3,,true,false,true,9.5,18,false,,2026-05-14T16:46:52.022Z,2026-05-14T16:47:12.737Z
647,20,Oil Change Department,7,Other Oil Filters,OIL FILTER ISUZU 71 DIESEL corner,فلتر زيت إيسوزو 71 ديزل كونر,FLT-478,Saudi OIL,,piece,piece,piece,1,12,25,21.74,,false,false,true,0,0,false,,2026-05-14T13:46:13.532Z,2026-05-14T13:46:13.532Z
646,20,Oil Change Department,36,Chinese filters,Oil Filter Changan Original 1012010,فلتر زيت شانجان الأصلي 1012010,CHI-014,CHANGAN,,piece,piece,piece,1,19.55,30,26.09,,false,false,true,0,0,false,,2026-05-11T15:19:54.547Z,2026-05-11T15:19:54.547Z
